aX,aY,aZ,gX,gY,gZ
0.995,0.062,1.772,129.089,-92.834,13.550
0.305,-0.811,2.161,160.278,-167.114,28.870
0.228,-0.684,1.710,73.181,-96.069,28.381
0.201,-0.303,1.516,-13.611,-17.517,9.460
0.188,-0.141,1.299,-58.167,16.846,9.460
0.122,-0.149,0.997,-68.848,28.381,22.034
0.060,-0.074,0.759,-65.796,27.222,20.142
0.013,-0.003,0.627,-52.795,18.982,11.047
0.003,0.027,0.549,-33.203,11.963,2.991
0.005,0.027,0.554,-13.123,5.615,-1.587
0.077,0.008,0.617,0.610,8.057,-2.441
0.170,-0.063,0.748,9.583,11.414,-1.221
0.268,-0.071,0.880,15.503,12.390,-3.174
0.332,-0.078,0.986,19.348,9.644,-4.333
0.351,-0.110,1.047,21.484,4.700,-3.601
0.359,-0.148,1.064,19.165,2.258,-2.380
0.339,-0.158,1.043,12.634,2.258,-0.427
0.308,-0.154,1.014,6.409,4.089,0.793
0.271,-0.150,0.981,2.625,6.226,1.587
0.232,-0.147,0.940,0.305,7.080,2.625
0.201,-0.161,0.908,-0.916,7.812,3.723
0.185,-0.166,0.889,-0.977,8.911,4.395
0.178,-0.159,0.884,-0.732,9.094,4.517
0.193,-0.160,0.892,0.183,8.179,3.662
0.216,-0.150,0.911,1.831,5.920,1.831
0.229,-0.152,0.923,4.089,2.075,-0.183
0.247,-0.145,0.935,5.432,-1.709,-1.831
0.279,-0.139,0.945,5.310,-4.150,-2.441
0.288,-0.125,0.944,4.761,-5.249,-1.282
0.297,-0.124,0.938,5.432,-5.615,0.366
0.269,-0.130,0.924,6.470,-6.104,2.625
0.246,-0.136,0.917,6.775,-4.456,4.272
0.228,-0.141,0.917,6.287,-1.526,5.554
0.222,-0.144,0.921,5.920,1.343,5.981
0.220,-0.151,0.925,5.920,2.991,5.371
0.222,-0.150,0.925,6.226,2.563,3.845
0.218,-0.153,0.916,6.409,0.854,2.258
0.217,-0.136,0.912,6.104,-0.488,0.916
0.231,-0.126,0.908,6.165,-1.953,0.000
0.242,-0.118,0.906,7.507,-4.150,-0.854
0.255,-0.122,0.927,8.850,-6.958,-0.916
0.257,-0.119,0.931,9.277,-9.094,-0.366
0.246,-0.115,0.935,8.667,-9.827,0.671
0.243,-0.122,0.947,8.240,-10.010,1.648
0.229,-0.140,0.961,8.179,-9.827,2.808
0.222,-0.156,0.960,8.240,-8.606,2.808
0.207,-0.160,0.955,7.935,-8.057,2.197
0.191,-0.160,0.938,7.324,-6.836,1.526
0.188,-0.153,0.936,6.409,-4.883,1.343
0.198,-0.151,0.939,6.042,-2.014,2.075
0.205,-0.163,0.951,5.554,0.122,3.479
0.194,-0.177,0.948,5.066,0.488,3.723
0.174,-0.161,0.935,4.272,0.732,2.380
0.175,-0.162,0.922,2.747,1.465,2.869
0.195,-0.159,0.919,2.014,2.991,2.258
0.223,-0.144,0.927,2.380,3.296,1.221
0.238,-0.147,0.935,3.357,0.671,0.977
0.218,-0.153,0.937,4.395,-3.601,1.526
0.214,-0.150,0.937,4.700,-4.517,1.404
0.212,-0.146,0.938,4.456,-4.517,1.587
0.202,-0.155,0.934,4.700,-3.784,2.380
0.190,-0.164,0.932,5.005,-2.258,2.563
0.188,-0.165,0.932,4.822,-0.122,2.014
0.192,-0.165,0.943,4.395,1.282,1.770
0.198,-0.170,0.947,3.967,2.686,1.709
0.198,-0.171,0.945,3.357,3.540,1.465
0.201,-0.168,0.937,2.502,3.845,0.916
0.207,-0.159,0.930,2.197,4.028,0.122
0.216,-0.152,0.925,2.258,4.150,-0.244
0.230,-0.147,0.927,3.052,3.723,-0.427
