aX,aY,aZ,gX,gY,gZ
-0.012,-0.021,0.929,-3.540,11.108,3.174
-0.025,-0.008,0.962,1.099,27.771,25.330
-0.028,-0.009,0.960,2.747,13.245,13.916
-0.028,-0.010,0.960,2.686,3.906,3.723
-0.027,-0.012,0.958,2.808,2.686,2.380
-0.027,-0.012,0.959,2.747,2.502,2.136
-0.026,-0.013,0.957,2.808,2.625,2.136
-0.026,-0.013,0.957,2.625,2.747,2.136
-0.024,-0.013,0.956,2.686,2.625,2.075
-0.025,-0.012,0.956,2.563,2.502,2.136
-0.024,-0.011,0.955,2.625,2.502,2.136
-0.023,-0.010,0.955,2.686,2.441,2.197
-0.023,-0.009,0.954,2.747,2.441,2.197
-0.022,-0.008,0.956,2.747,2.441,2.014
-0.023,-0.007,0.956,2.869,2.380,2.197
-0.023,-0.007,0.955,2.686,2.563,2.197
-0.023,-0.008,0.954,2.686,2.563,1.953
-0.023,-0.004,0.955,2.625,2.563,2.014
-0.022,-0.003,0.954,2.380,2.625,2.075
-0.022,-0.001,0.956,2.502,2.441,2.014
-0.022,-0.001,0.957,2.625,2.441,2.075
-0.020,-0.001,0.956,2.747,2.441,2.380
-0.021,-0.000,0.955,2.686,2.502,2.258
-0.019,-0.001,0.956,2.686,2.625,2.258
-0.021,-0.002,0.953,2.625,2.502,2.319
-0.021,-0.004,0.956,2.747,2.747,2.258
-0.023,-0.005,0.954,2.686,2.625,2.136
-0.024,-0.007,0.956,2.625,2.502,2.258
-0.024,-0.009,0.955,2.625,2.502,2.319
-0.027,-0.011,0.956,2.747,2.502,2.319
-0.027,-0.013,0.956,2.869,2.625,2.258
-0.028,-0.011,0.955,2.686,2.563,2.380
-0.029,-0.013,0.956,2.686,2.686,2.319
-0.028,-0.014,0.955,2.686,2.502,2.197
-0.027,-0.013,0.956,2.686,2.441,2.136
-0.026,-0.012,0.956,2.563,2.441,2.136
-0.025,-0.010,0.955,2.686,2.563,2.136
-0.024,-0.010,0.956,2.563,2.686,2.258
-0.024,-0.010,0.956,2.625,2.502,2.258
-0.024,-0.010,0.957,2.686,2.502,2.075
-0.023,-0.009,0.957,2.625,2.625,2.136
-0.023,-0.009,0.956,2.747,2.625,2.136
-0.023,-0.009,0.956,2.869,2.625,2.136
-0.023,-0.009,0.957,2.747,2.625,2.258
-0.024,-0.010,0.958,2.808,2.563,2.136
-0.024,-0.010,0.958,2.686,2.502,2.258
-0.024,-0.009,0.956,2.686,2.502,2.197
-0.024,-0.009,0.957,2.625,2.625,2.075
-0.024,-0.009,0.958,2.563,2.502,2.014
-0.023,-0.008,0.958,2.686,2.502,2.014
-0.022,-0.007,0.957,2.563,2.686,2.197
-0.022,-0.005,0.957,2.808,2.625,2.197
-0.023,-0.005,0.957,2.747,2.563,2.136
-0.022,-0.006,0.958,2.747,2.686,2.075
-0.023,-0.006,0.958,2.869,2.625,2.075
-0.022,-0.005,0.958,2.747,2.686,2.197
-0.024,-0.005,0.957,2.563,2.563,2.258
-0.026,-0.005,0.958,2.686,2.625,2.136
-0.025,-0.007,0.958,2.563,2.563,2.258
-0.026,-0.008,0.958,2.625,2.502,2.136
-0.026,-0.008,0.958,2.563,2.441,2.136
-0.026,-0.009,0.957,2.686,2.380,2.258
-0.026,-0.008,0.958,2.686,2.441,2.258
-0.026,-0.008,0.959,2.686,2.625,2.380
-0.026,-0.007,0.958,2.686,2.502,2.014
-0.025,-0.006,0.959,2.686,2.563,2.136
-0.026,-0.007,0.958,2.625,2.563,2.136
-0.024,-0.007,0.959,2.686,2.563,2.014
-0.025,-0.006,0.958,2.747,2.502,2.136
-0.025,-0.007,0.959,2.747,2.625,2.258
-0.024,-0.006,0.959,2.686,2.686,2.197
-0.024,-0.007,0.959,2.625,2.563,2.136
-0.024,-0.008,0.958,2.563,2.441,2.136
-0.025,-0.008,0.960,2.686,2.441,2.258
-0.025,-0.008,0.959,2.625,2.686,2.136
-0.024,-0.008,0.959,2.502,2.625,2.136
-0.024,-0.009,0.959,2.686,2.563,2.075
-0.023,-0.010,0.960,2.563,2.625,2.014
-0.023,-0.009,0.959,2.625,2.747,2.136
-0.023,-0.009,0.959,2.625,2.563,2.075
-0.024,-0.008,0.959,2.686,2.625,2.075
-0.023,-0.008,0.959,2.686,2.563,2.075
-0.023,-0.008,0.960,2.502,2.563,2.136
-0.023,-0.007,0.961,2.625,2.502,2.136
-0.022,-0.007,0.959,2.808,2.563,2.136
-0.023,-0.007,0.961,2.686,2.502,2.258
-0.024,-0.007,0.961,2.747,2.502,2.319
-0.025,-0.007,0.960,2.563,2.625,2.136
-0.025,-0.007,0.961,2.686,2.686,2.075
-0.026,-0.006,0.961,2.563,2.563,2.197
-0.026,-0.007,0.960,2.625,2.563,2.319
-0.025,-0.007,0.960,2.686,2.441,2.136
-0.025,-0.007,0.961,2.625,2.625,2.136
-0.025,-0.008,0.961,2.563,2.502,2.136
-0.024,-0.008,0.961,2.686,2.625,2.197
-0.024,-0.009,0.961,2.502,2.686,2.075
-0.023,-0.008,0.961,2.502,2.686,2.075
-0.023,-0.009,0.961,2.563,2.563,2.197
-0.023,-0.008,0.961,2.563,2.625,2.197
-0.023,-0.008,0.961,2.686,2.563,2.197
-0.023,-0.008,0.962,2.563,2.625,2.197
-0.024,-0.009,0.962,2.625,2.563,2.136
-0.024,-0.008,0.962,2.686,2.625,2.136
-0.023,-0.008,0.961,2.502,2.380,2.136
-0.024,-0.007,0.962,2.625,2.441,2.136
-0.023,-0.008,0.962,2.808,2.686,2.197
-0.024,-0.007,0.961,2.747,2.625,2.197
-0.024,-0.007,0.961,2.686,2.502,2.136
-0.025,-0.006,0.962,2.747,2.563,2.136
-0.024,-0.007,0.962,2.686,2.625,2.197
-0.025,-0.007,0.961,2.869,2.625,2.197
-0.023,-0.007,0.963,2.747,2.686,2.258
-0.024,-0.006,0.962,2.563,2.625,2.319
-0.023,-0.006,0.963,2.686,2.563,2.136
-0.023,-0.006,0.964,2.747,2.563,2.136
-0.024,-0.006,0.962,2.563,2.563,2.075
-0.025,-0.006,0.961,2.686,2.441,2.197
-0.025,-0.006,0.961,2.686,2.502,2.197
-0.026,-0.008,0.963,2.625,2.563,2.136

-0.355,0.808,1.974,104.492,98.938,-59.326
-0.358,0.922,2.087,88.745,100.586,-58.655
-0.474,0.981,2.012,62.012,90.393,-52.734
-0.625,1.000,1.922,35.889,76.965,-48.523
-0.700,0.964,1.793,12.939,67.505,-52.124
-0.684,0.884,1.616,-5.188,63.965,-64.758
-0.603,0.768,1.473,-16.785,66.162,-80.261
-0.480,0.653,1.370,-26.123,68.909,-92.224
-0.357,0.555,1.330,-35.645,68.970,-96.863
-0.256,0.527,1.383,-48.279,61.829,-93.872
-0.253,0.519,1.481,-64.087,40.771,-84.351
-0.369,0.525,1.499,-83.984,10.559,-69.031
-0.563,0.503,1.515,-108.154,-19.104,-56.396
-0.765,0.478,1.472,-133.423,-44.006,-54.565
-0.928,0.435,1.367,-155.518,-62.439,-63.721
-1.102,0.339,1.250,-171.204,-72.876,-81.055
-1.242,0.269,1.153,-176.697,-69.946,-105.652
-1.303,0.198,1.101,-172.546,-52.856,-137.390
-1.334,0.036,0.988,-164.429,-30.518,-171.143
-1.332,-0.066,0.883,-155.029,-12.085,-203.857
-1.259,-0.122,0.774,-143.860,-1.587,-229.309
-1.180,-0.239,0.695,-132.568,4.089,-247.498
-1.056,-0.373,0.647,-124.756,6.531,-262.512
-0.902,-0.473,0.560,-119.568,2.625,-273.682
-0.770,-0.587,0.468,-112.854,-8.972,-281.982
-0.641,-0.659,0.491,-103.638,-23.193,-284.546
-0.478,-0.647,0.755,-94.910,-30.090,-278.931
-0.355,-0.614,0.929,-91.614,-25.330,-269.226
-0.345,-0.685,0.927,-94.971,-8.240,-269.531
-0.301,-0.791,0.826,-104.980,8.484,-277.588
-0.302,-0.797,0.681,-116.333,10.742,-278.503
-0.268,-0.814,0.541,-120.605,0.366,-267.517
-0.324,-0.831,0.381,-121.216,-18.555,-256.165
-0.359,-0.855,0.263,-117.371,-32.593,-249.146
-0.212,-0.809,0.188,-109.131,-36.560,-245.850
-0.024,-0.838,0.254,-97.839,-38.574,-240.784
0.073,-0.771,0.347,-89.661,-47.607,-230.469
0.088,-0.724,0.424,-86.060,-57.495,-217.468
0.107,-0.681,0.449,-83.313,-60.669,-209.045
0.161,-0.670,0.425,-79.773,-55.237,-206.787
0.255,-0.719,0.434,-75.317,-46.326,-209.106
0.378,-0.718,0.418,-70.435,-43.579,-208.740
0.512,-0.741,0.302,-64.331,-46.692,-197.327
0.604,-0.791,0.172,-49.438,-46.570,-184.692
0.689,-0.800,0.057,-27.710,-41.443,-176.331
0.852,-0.838,-0.052,-0.122,-26.489,-168.091
1.015,-0.864,-0.044,34.546,-6.897,-157.593
1.159,-0.831,-0.046,72.205,13.916,-142.151
1.230,-0.794,0.081,110.901,39.673,-122.009
1.155,-0.694,0.394,144.714,62.622,-103.088
1.073,-0.542,0.614,160.095,71.960,-86.060
1.009,-0.466,0.788,159.607,70.740,-74.219
1.007,-0.451,0.814,147.339,62.439,-73.059
1.065,-0.508,0.825,130.066,55.054,-72.571
1.197,-0.559,0.852,115.967,47.913,-68.176
1.297,-0.624,0.900,103.455,36.499,-59.570
1.343,-0.659,0.959,88.867,18.372,-49.438
1.405,-0.655,0.990,69.763,-0.732,-36.804
1.479,-0.607,1.071,50.842,-6.775,-27.771
1.464,-0.580,1.161,31.494,-10.681,-23.865
1.454,-0.517,1.143,6.897,-16.724,-20.874
1.395,-0.516,1.079,-16.113,-23.315,-14.526
1.346,-0.452,0.973,-29.114,-30.396,-8.118
1.371,-0.472,0.831,-34.912,-28.625,-3.479
1.430,-0.463,0.706,-32.837,-19.287,-1.953
1.491,-0.481,0.566,-26.611,-5.615,1.648
1.539,-0.486,0.435,-17.334,11.475,6.775
1.504,-0.512,0.252,-9.766,26.062,13.611
1.445,-0.553,0.031,-0.732,37.903,20.325
1.382,-0.574,-0.159,13.428,45.410,25.879
1.252,-0.625,-0.248,32.349,44.800,32.959
1.006,-0.672,-0.240,51.514,35.706,40.466
0.759,-0.566,-0.154,69.763,15.137,44.067
0.582,-0.557,-0.042,82.397,-6.958,46.875
0.529,-0.504,0.279,94.910,-25.024,46.021
0.522,-0.318,0.753,96.741,-46.143,43.457
0.513,-0.176,1.065,84.961,-74.524,47.058
0.498,-0.083,1.219,65.063,-98.572,52.856
0.466,0.023,1.242,43.396,-107.422,52.856
0.426,0.109,1.224,28.137,-100.586,47.180
0.401,0.126,1.163,22.400,-83.740,39.856
0.403,0.124,1.051,23.010,-61.523,31.799
0.420,0.126,1.020,31.494,-37.842,24.536
0.401,0.121,1.056,42.725,-19.531,19.409
0.350,0.139,1.098,48.279,-9.705,15.198
0.298,0.163,1.103,46.387,-7.874,9.460
0.274,0.153,1.069,39.734,-13.184,3.418
0.305,0.114,1.007,31.067,-22.644,-1.526
0.392,0.060,0.932,22.339,-33.752,-5.066
0.503,-0.009,0.827,15.381,-44.922,-5.737
0.601,-0.080,0.760,12.817,-53.040,-2.441
0.704,-0.069,0.802,13.916,-53.162,3.662
0.787,-0.089,0.860,15.137,-45.532,9.644
0.807,-0.104,0.875,10.681,-35.156,12.146
0.786,-0.093,0.836,2.075,-24.170,12.573
0.755,-0.128,0.720,-6.470,-13.672,13.367
0.746,-0.167,0.602,-11.902,-3.296,13.000
0.745,-0.221,0.501,-13.184,5.127,13.245
0.728,-0.271,0.404,-10.620,8.362,15.015
0.699,-0.308,0.345,-5.981,6.348,18.250
0.710,-0.340,0.319,0.122,0.671,23.132
0.723,-0.391,0.326,6.470,-8.301,29.907
0.657,-0.399,0.387,12.878,-20.386,36.987
0.575,-0.385,0.474,18.799,-32.471,44.250
0.518,-0.341,0.628,25.208,-40.222,51.270
0.475,-0.256,0.823,29.968,-44.373,56.458
0.435,-0.188,0.996,31.799,-47.302,61.707
0.405,-0.115,1.129,31.311,-46.997,65.369
0.353,-0.035,1.216,28.503,-43.579,67.017
0.309,0.017,1.279,25.452,-36.743,65.308
0.292,0.056,1.306,21.118,-26.917,59.326
0.264,0.077,1.288,14.404,-17.090,50.720
0.264,0.102,1.237,6.348,-8.118,41.504
0.375,0.094,1.212,-0.732,-3.052,29.175
0.392,0.128,1.088,-12.695,-4.456,23.560
0.338,0.006,0.987,-14.343,-5.737,29.663
0.346,0.010,0.923,-14.893,-3.784,24.780
0.387,0.041,0.886,-14.160,0.916,17.090
0.417,-0.016,0.894,-7.080,5.493,15.015

0.630,0.580,1.319,-42.725,-103.943,164.734
0.477,0.430,0.865,-72.510,-166.321,204.529
0.412,0.372,0.489,-72.571,-181.702,227.600
0.245,0.369,0.338,-40.039,-147.888,234.680
-0.008,0.333,0.466,12.878,-71.472,224.365
-0.166,0.425,0.878,68.054,34.729,190.613
-0.089,0.626,1.400,109.375,141.418,139.709
0.035,0.801,1.769,128.296,212.158,95.947
0.113,0.823,1.889,127.258,232.849,72.266
0.130,0.823,1.774,100.281,211.182,68.665
0.126,0.750,1.494,65.735,172.791,71.899
0.173,0.640,1.208,41.748,138.367,70.740
0.253,0.566,1.033,26.917,117.615,65.613
0.397,0.463,1.090,18.066,102.539,58.228
0.504,0.301,1.291,9.583,71.228,57.312
0.499,0.145,1.310,-12.024,12.207,78.430
-0.097,0.105,0.998,-32.532,-42.297,118.958
-0.567,0.229,0.795,-24.292,-35.034,127.319
-0.707,0.343,1.037,13.367,23.865,89.783
-0.714,0.427,1.405,49.866,88.745,33.447
-0.655,0.411,1.602,66.528,137.024,-14.160
-0.590,0.331,1.579,67.871,158.020,-51.270
-0.403,0.222,1.488,67.932,157.654,-76.111
-0.237,-0.029,1.286,73.730,139.038,-84.045
0.047,-0.169,1.089,90.942,118.652,-80.933
0.347,-0.178,1.357,119.751,104.492,-65.125
0.449,-0.017,1.795,147.766,85.083,-35.156
0.644,0.096,2.161,150.574,74.280,-4.395
0.658,0.336,2.482,134.949,69.763,26.123
0.391,0.609,2.595,102.234,58.411,56.946
0.036,0.870,2.579,61.401,43.152,81.177
-0.280,1.084,2.543,21.851,27.344,95.093
-0.694,1.193,2.516,-15.869,12.878,99.121
-1.032,1.131,2.295,-56.702,1.648,87.585
-1.222,0.866,1.861,-95.703,-0.244,60.120
-1.177,0.584,1.230,-124.146,2.197,17.944
-0.912,0.310,0.680,-137.146,5.249,-22.522
-0.608,0.165,0.412,-128.967,1.038,-49.744
-0.625,0.121,0.378,-111.755,-14.771,-59.265
-0.629,0.124,0.644,-95.520,-20.569,-65.674
-0.539,0.234,1.038,-88.196,-21.973,-76.477
-0.501,0.311,1.390,-95.825,-35.461,-82.153
-0.523,0.316,1.557,-116.455,-60.913,-79.285
-0.587,0.303,1.575,-142.212,-83.862,-77.820
-0.706,0.267,1.486,-163.635,-95.520,-82.153
-0.880,0.222,1.355,-176.941,-98.145,-94.055
-1.046,0.164,1.138,-182.434,-93.384,-112.183
-1.146,0.092,0.898,-177.307,-79.651,-138.977
-1.183,-0.045,0.787,-161.133,-59.570,-172.913
-1.097,-0.168,0.738,-139.954,-38.757,-206.726
-0.980,-0.295,0.776,-119.873,-21.606,-233.398
-0.807,-0.373,0.840,-103.271,-5.554,-250.671
-0.604,-0.459,0.912,-91.980,11.108,-261.658
-0.490,-0.510,0.980,-87.708,23.315,-266.968
-0.428,-0.531,1.168,-89.966,25.879,-264.160
-0.510,-0.501,1.322,-100.281,14.404,-252.747
-0.612,-0.461,1.350,-115.967,-1.770,-242.615
-0.635,-0.476,1.254,-131.592,-10.986,-240.967
-0.642,-0.564,1.087,-141.235,-15.320,-246.338
-0.606,-0.633,0.832,-143.372,-12.146,-256.775
-0.442,-0.707,0.654,-135.132,0.366,-269.958
-0.331,-0.778,0.488,-117.737,10.071,-276.001
-0.178,-0.820,0.439,-96.863,20.874,-277.954
-0.066,-0.824,0.451,-76.050,30.701,-278.503
-0.086,-0.804,0.517,-58.716,33.691,-276.367
-0.165,-0.784,0.608,-46.326,33.752,-273.621
-0.233,-0.769,0.685,-39.063,33.752,-271.790
-0.245,-0.756,0.761,-34.790,33.020,-270.996
-0.188,-0.784,0.773,-34.241,31.494,-272.095
-0.085,-0.886,0.850,-37.720,28.748,-273.926
0.049,-0.908,0.926,-47.668,23.315,-271.790
0.136,-0.977,0.776,-61.401,16.052,-266.907
0.216,-1.076,0.493,-69.946,15.320,-265.198
0.300,-1.153,0.231,-65.796,20.996,-266.846
0.480,-1.222,0.076,-49.561,33.020,-269.043
0.758,-1.269,-0.126,-26.001,41.992,-266.052
1.001,-1.344,-0.285,3.540,45.837,-249.329
1.282,-1.361,-0.179,40.833,52.612,-224.548
1.491,-1.347,0.032,72.693,57.495,-199.402
1.693,-1.191,0.322,83.984,53.833,-178.711
1.854,-1.069,0.661,71.472,32.410,-154.785
1.961,-1.001,0.864,39.978,-7.812,-126.099
2.019,-1.018,0.935,-4.944,-48.950,-98.145
2.112,-1.063,0.837,-52.856,-79.590,-75.256
2.285,-1.174,0.656,-91.736,-87.769,-56.885
2.387,-1.308,0.353,-117.188,-73.669,-41.870
2.373,-1.469,-0.129,-129.700,-42.236,-28.992
2.252,-1.604,-0.652,-120.300,-6.958,-19.531
2.035,-1.669,-0.992,-92.041,23.010,-7.812
1.728,-1.548,-1.105,-49.927,30.396,18.494
1.490,-1.452,-0.751,0.610,9.338,58.228
1.113,-1.023,-0.442,39.246,-39.795,97.595
0.815,-0.848,0.030,68.970,-70.313,131.165
0.666,-0.476,0.512,86.182,-74.829,134.338
0.640,-0.163,0.918,86.487,-65.063,128.113
