aX,aY,aZ,gX,gY,gZ
1.537,-0.627,-1.100,-100.342,570.618,-36.865
1.852,-1.030,-0.871,-25.269,577.148,-31.128
2.473,-1.495,-0.284,56.030,584.839,-50.293
3.269,-1.616,0.362,101.501,596.008,-87.463
3.961,-1.354,0.837,103.516,564.026,-122.131
3.691,-0.762,1.567,87.158,468.933,-126.709
3.049,-0.121,1.850,63.721,382.507,-102.478
2.260,-0.074,1.940,44.983,345.337,-36.987
1.612,-0.415,2.048,25.513,364.441,72.632
1.154,-0.967,2.010,-15.015,411.499,172.546
0.828,-1.259,1.660,-82.031,441.650,228.149
0.507,-0.974,1.054,-157.593,421.021,237.122
0.368,-0.652,0.411,-211.975,354.370,216.003
0.342,-0.305,-0.411,-235.535,256.775,180.786
0.271,0.245,-1.100,-219.788,135.742,129.272
0.112,0.437,-1.621,-155.457,1.953,56.946
-0.069,0.432,-1.854,-77.026,-102.478,-4.517
-0.108,0.258,-1.917,-23.865,-140.625,-38.269
-0.150,0.393,-1.962,-4.578,-123.474,-45.410
-0.081,0.564,-1.844,9.644,-77.393,-40.100
0.117,0.671,-1.547,35.706,-3.906,-26.184
0.337,0.368,-1.097,63.660,83.069,0.977
0.664,-0.069,-0.500,81.116,169.800,33.691
0.935,-0.258,0.073,76.782,220.581,53.345
1.288,-0.501,0.496,65.735,231.140,54.565
1.495,-0.672,0.762,51.331,184.204,44.373
1.526,-0.573,0.685,21.545,96.008,25.391
1.424,-0.296,0.424,-14.343,-3.052,6.165
1.160,-0.227,-0.043,-35.583,-98.206,-1.648
0.811,-0.112,-0.514,-42.358,-162.476,-13.000
0.593,0.106,-0.872,-37.048,-187.317,-29.419
0.426,0.285,-1.082,-24.231,-187.256,-42.480
0.494,0.368,-1.182,-7.263,-152.222,-47.424
0.636,0.435,-1.067,10.315,-100.403,-39.124
0.768,0.455,-0.895,26.184,-51.147,-16.663
0.946,0.361,-0.692,36.194,-11.475,8.545
1.107,0.271,-0.512,43.945,11.902,29.175
1.302,0.141,-0.339,51.086,16.113,42.236
