aX,aY,aZ,gX,gY,gZ
0.007,-0.033,0.934,-2.808,-10.742,-22.278
-0.007,-0.015,0.963,1.465,22.888,19.836
-0.007,-0.015,0.962,2.686,12.512,13.733
-0.007,-0.014,0.961,2.686,3.967,3.723
-0.008,-0.015,0.960,2.686,2.869,2.625
-0.007,-0.015,0.960,2.747,2.563,2.380
-0.008,-0.013,0.959,2.686,2.625,2.441
-0.007,-0.012,0.959,2.747,2.747,2.380
-0.010,-0.010,0.958,2.869,2.869,2.197
-0.014,-0.005,0.958,2.930,2.686,1.953
-0.032,0.005,0.955,2.869,2.563,1.038
-0.027,-0.000,0.953,2.686,2.197,-1.221
0.011,-0.014,0.960,2.258,1.648,-2.869
0.012,-0.020,0.957,2.747,2.808,-1.038
-0.000,-0.014,0.955,2.625,2.747,1.282
-0.014,-0.004,0.958,2.686,2.808,2.502
-0.014,-0.007,0.957,2.930,2.930,2.686
-0.014,-0.007,0.957,2.869,2.869,3.052
-0.004,-0.008,0.958,2.686,2.747,4.150
-0.002,-0.021,0.958,2.686,2.747,3.906
-0.007,-0.016,0.957,2.563,2.441,2.808
-0.010,-0.013,0.956,2.808,2.563,2.502
-0.010,-0.013,0.957,2.625,2.563,2.441
-0.010,-0.012,0.957,2.686,2.625,2.441
-0.009,-0.013,0.957,2.869,2.869,2.563
-0.009,-0.012,0.958,2.747,2.869,2.502
-0.009,-0.010,0.956,2.808,2.747,2.747
-0.012,-0.008,0.956,2.625,2.686,2.747
-0.011,-0.011,0.957,2.625,2.563,3.113
-0.003,-0.018,0.957,2.747,2.625,3.540
-0.004,-0.015,0.957,2.747,2.563,3.296
-0.006,-0.013,0.957,2.747,2.563,2.869
-0.005,-0.014,0.957,2.747,2.563,2.869
-0.005,-0.013,0.957,2.563,2.686,2.625
-0.006,-0.014,0.958,2.625,2.502,2.563
-0.006,-0.014,0.958,2.625,2.563,2.563
-0.006,-0.014,0.958,2.747,2.686,2.686
