aX,aY,aZ,gX,gY,gZ
0.099,-0.039,0.917,-3.296,27.222,21.423
0.092,-0.033,0.958,3.052,30.884,31.555
0.086,-0.046,0.953,4.211,12.085,16.907
0.079,-0.042,0.942,3.296,2.930,6.409
0.073,-0.041,0.935,2.625,1.709,4.822
0.074,-0.047,0.935,2.319,2.075,4.150
0.078,-0.041,0.932,1.709,2.258,4.089
0.075,-0.039,0.920,1.221,2.014,4.639
0.067,-0.044,0.912,2.136,2.197,4.333
0.059,-0.042,0.919,3.357,2.747,3.906
0.060,-0.037,0.930,3.296,3.601,4.211
0.068,-0.033,0.947,3.418,4.211,4.333
0.078,-0.036,0.960,4.578,4.089,4.211
0.073,-0.034,0.962,5.615,2.686,4.333
0.062,-0.035,0.961,5.920,1.038,4.578
0.059,-0.045,0.958,5.981,0.061,4.517
0.063,-0.049,0.954,6.104,-0.061,3.845
0.067,-0.041,0.950,5.676,0.061,3.357
0.065,-0.036,0.948,4.761,-0.244,3.418
0.062,-0.037,0.948,3.784,-0.122,3.418
0.063,-0.044,0.949,3.418,0.549,2.991
0.060,-0.042,0.951,3.418,1.709,2.502
0.058,-0.040,0.958,2.808,2.380,2.197
0.062,-0.041,0.969,2.319,2.625,1.770
0.071,-0.041,0.983,3.174,2.686,1.404
0.083,-0.045,0.986,4.333,1.770,0.793
0.086,-0.043,0.977,5.188,0.244,0.183
0.084,-0.034,0.969,4.944,-1.282,-0.122
0.088,-0.036,0.957,3.967,-2.380,-0.122
0.089,-0.028,0.940,3.906,-2.258,0.000
0.091,-0.022,0.933,4.272,-1.892,0.366
0.091,-0.027,0.930,4.761,-1.404,0.977
0.088,-0.039,0.933,4.883,-0.488,1.099
0.089,-0.045,0.939,3.601,0.671,0.854
0.091,-0.045,0.942,1.465,1.709,1.038
0.093,-0.044,0.945,0.183,2.136,0.671
0.095,-0.042,0.948,0.427,2.258,-0.061
0.095,-0.035,0.955,1.221,2.136,-0.610
0.099,-0.025,0.967,1.587,1.770,-0.366
0.105,-0.019,0.969,1.038,0.977,0.244
0.105,-0.014,0.957,1.953,-0.183,1.160
0.100,-0.019,0.943,4.700,-1.038,1.648
0.095,-0.029,0.937,7.385,-1.038,2.014
0.091,-0.047,0.939,8.484,-0.427,2.136
0.090,-0.059,0.939,7.202,0.610,2.197
0.090,-0.054,0.937,4.395,1.404,2.380
0.089,-0.049,0.943,2.502,1.648,2.014
0.083,-0.049,0.951,2.014,2.197,1.526
0.087,-0.048,0.955,1.526,3.418,1.099
0.095,-0.039,0.958,0.671,4.272,1.160
0.098,-0.028,0.969,0.122,3.723,1.465
0.096,-0.029,0.979,0.854,2.808,2.136
0.096,-0.031,0.980,1.953,1.770,2.625
0.093,-0.031,0.977,3.784,0.610,2.869
0.084,-0.046,0.967,6.104,-0.061,2.441
0.081,-0.056,0.953,6.897,-0.244,1.953
0.080,-0.057,0.939,5.249,0.000,1.526
0.080,-0.049,0.931,3.540,0.916,0.916
0.086,-0.040,0.936,2.563,2.136,0.671
0.090,-0.038,0.944,2.563,2.625,0.793
0.091,-0.039,0.958,3.174,2.747,1.343
0.090,-0.047,0.958,3.601,2.319,1.770
0.085,-0.049,0.950,2.991,1.831,1.648
0.081,-0.041,0.949,2.136,1.587,1.648
0.085,-0.035,0.953,1.648,1.892,2.197
0.091,-0.033,0.961,2.502,1.831,2.563
0.092,-0.032,0.964,3.601,1.282,3.174
0.089,-0.033,0.963,3.662,0.549,3.967
0.084,-0.038,0.958,3.174,-0.244,4.395
0.073,-0.051,0.946,2.869,0.366,4.456
0.070,-0.054,0.941,2.380,1.160,3.967
0.071,-0.050,0.943,2.441,2.136,3.296
0.069,-0.056,0.947,3.113,2.869,2.747
0.070,-0.065,0.953,3.296,3.174,2.014
0.069,-0.060,0.961,2.258,2.930,1.648
0.075,-0.050,0.968,-0.061,2.319,1.831
0.085,-0.040,0.964,-1.343,1.526,2.136
0.091,-0.036,0.954,0.061,0.854,2.319
0.086,-0.036,0.941,2.625,0.305,2.502
0.081,-0.036,0.935,4.395,0.000,2.502
0.076,-0.044,0.938,5.005,0.244,3.052
0.067,-0.055,0.939,4.700,1.038,3.296
0.065,-0.056,0.948,3.418,1.831,3.174
